n_hidden,batch_size,epochs,dropout,accuracy,F1_score,precision,recall
10,10,10,0.5,0.9759840024689105,0.9728055155831618,0.9728155339805825,0.9728503440211036
10,10,10,0.75,0.944272029516628,0.9341126049733844,0.9029126213592233,0.9699666759514824
10,10,20,0.25,0.9888558722395946,0.9874206722877048,0.9902912621359224,0.9845956470713751
10,10,20,0.5,0.9871391336328674,0.985516356210742,0.9902912621359224,0.9808234645613286
10,10,20,0.75,0.9785591103790013,0.975683738799517,0.9728155339805825,0.9786913056484728
10,100,5,0.25,0.5950698826467906,0.557893845382528,0.6407766990291262,0.6952979299170933
10,100,5,0.5,0.6673306238040821,0.38747563659709494,0.3398058252427184,0.5212747631352282
10,100,5,0.75,0.5523091644742888,0.21120965164589328,0.26407766990291265,0.23189027803694717
10,100,10,0.25,0.8223836235972337,0.7550483140525512,0.6640776699029125,0.9099481376384254
10,100,10,0.5,0.6842412334392602,0.5555491405239017,0.5475728155339805,0.672367602059735
10,100,10,0.75,0.7772018699997401,0.5471422902112302,0.5495145631067961,0.5458084318858896
10,100,20,0.25,0.9519790228746647,0.9437052765471808,0.9145631067961165,0.9752806674992481
10,100,20,0.5,0.9528484026809627,0.9444822044093284,0.916504854368932,0.9755790095586361
10,100,20,0.75,0.7657642865678603,0.5810974725893938,0.47378640776699027,0.795
10,1166,5,0.25,0.5403176605701446,0.2172988969599139,0.2601941747572815,0.3580055131023413
10,1166,5,0.5,0.45627452731132506,0.48160371756428627,0.7805825242718447,0.3482662941178309
10,1166,5,0.75,0.464858216047287,0.4901123357354812,0.8,0.35327023953633396
10,1166,10,0.25,0.5445838272571564,0.1639983579638752,0.2233009708737864,0.27302740178276663
10,1166,10,0.5,0.5180770933628083,0.3101224674477405,0.4446601941747573,0.29749883678051736
10,1166,10,0.75,0.4545577883720398,0.4781851120158046,0.770873786407767,0.34671868748523105
10,1166,20,0.25,0.5266607940196991,0.31122916627336433,0.3786407766990291,0.5104928168757956
10,1166,20,0.5,0.5412530541419983,0.15108402170716712,0.21553398058252426,0.288034188034188
10,1166,20,0.75,0.5119657993316651,0.2452380952380952,0.4,0.17682403433476396
